fua_code,fua_name,slope,slope_degrees,mean_annual_change_pct,p_value
HR001L2,Grad Zagreb,0.0029,0.17,0.6974,0.02
HR002L2,Rijeka,-0.0015,-0.08,-0.5774,0.16
HR003L2,Slavonski Brod,0.0031,0.18,0.5599,0.07
HR004L2,Osijek,0.001,0.06,0.4131,0.38
HR005L2,Split,0.0058,0.33,0.6762,0.0
HR006L1,Pula - Pola,0.0039,0.22,0.6371,0.0
HR007L1,Zadar,0.0058,0.33,0.9569,0.0
HU001L2,Budapest,0.0033,0.19,0.1198,0.01
HU002L2,Miskolc,0.0022,0.13,0.3763,0.11
HU003L2,NyÃ­regyhÃ¡za,0.0011,0.06,0.3107,0.35
HU004L2,PÃ©cs,0.0023,0.13,0.778,0.22
HU005L2,Debrecen,0.0011,0.06,0.1641,0.37
HU006L2,Szeged,0.0036,0.21,1.2288,0.0
HU007L2,GyÃµr,0.004,0.23,0.4033,0.0
HU008L2,KecskemÃ©t,0.0048,0.27,1.1849,0.0
HU009L2,SzÃ©kesfehÃ©rvÃ¡r,0.0041,0.24,0.5203,0.01
HU010L1,Szombathely,0.0047,0.27,0.7202,0.0
HU011L1,Szolnok,0.004,0.23,1.4072,0.02
HU012L1,TatabÃ¡nya,0.0031,0.18,0.117,0.03
HU013L1,VeszprÃ©m,0.0046,0.26,0.6114,0.0
HU014L1,BÃ©kÃ©scsaba,0.003,0.17,0.9094,0.04
HU015L1,KaposvÃ¡r,0.0043,0.25,0.984,0.0
HU016L1,Eger,0.0015,0.09,-0.0996,0.34
HU017L1,DunaÃºjvÃ¡ros,0.0033,0.19,0.4623,0.0
HU018L1,Zalaegerszeg,0.0048,0.28,0.3147,0.0
HU019L1,Sopron,0.003,0.17,0.2227,0.0
IE001L1,Dublin,0.0044,0.25,0.2942,0.0
IE002L1,Cork,0.0033,0.19,0.2227,0.01
IE003L1,Limerick,0.0054,0.31,0.3255,0.0
IE004L1,Galway,0.0048,0.28,0.4965,0.01
IE005L1,Waterford,0.0038,0.22,0.2468,0.0
IS001L1,ReykjavÃ­k,0.0025,0.14,-0.1154,0.35
IT001L3,Roma,0.0061,0.35,0.6859,0.0
IT002L3,Milano,0.0047,0.27,1.2971,0.0
IT003L3,Napoli,0.0035,0.2,0.3302,0.0
IT004L2,Torino,0.0056,0.32,0.4596,0.0
IT005L3,Palermo,0.0061,0.35,0.6791,0.0
IT006L3,Genova,0.002,0.11,-0.2736,0.24
IT007L3,Firenze,0.0043,0.25,0.8197,0.0
IT008L3,Bari,0.0067,0.38,2.1801,0.0
IT009L1,Bologna,0.0049,0.28,2.3181,0.01
IT010L2,Catania,0.0037,0.21,0.8261,0.0
IT011L2,Venezia,0.0037,0.21,0.5536,0.01
IT012L3,Verona,0.0054,0.31,1.2935,0.0
IT013L3,Cremona,0.0028,0.16,0.6283,0.13
IT014L3,Trento,0.0046,0.26,0.5142,0.0
IT015L1,Trieste,0.0015,0.09,-0.2499,0.24
IT016L3,Perugia,0.0054,0.31,0.4349,0.0
IT017L3,Ancona,0.0046,0.26,0.639,0.0
IT019L2,Pescara,0.0063,0.36,0.7869,0.0
IT020L3,Campobasso,0.0072,0.41,1.2306,0.0
IT021L2,Caserta,0.0073,0.42,0.8618,0.0
IT022L2,Taranto,0.0067,0.38,1.8305,0.0
IT023L2,Potenza,0.0061,0.35,0.9857,0.0
IT024L3,Catanzaro,0.0057,0.32,0.8979,0.0
IT025L3,Reggio di Calabria,0.0058,0.33,1.2411,0.0
IT026L3,Sassari,0.0077,0.44,1.4304,0.0
IT027L2,Cagliari,0.0063,0.36,1.247,0.0
IT028L3,Padova,0.0045,0.26,1.0467,0.01
IT029L3,Brescia,0.005,0.29,1.0364,0.01
IT030L3,Modena,0.0051,0.29,1.2,0.0
IT031L3,Foggia,0.0058,0.33,1.3802,0.0
IT032L3,Salerno,0.005,0.29,0.4299,0.02
IT033L2,Piacenza,0.0043,0.24,0.7792,0.0
IT034L1,Bolzano,0.0047,0.27,0.2543,0.0
IT035L2,Udine,0.0009,0.05,-0.2095,0.5
IT036L2,La Spezia,0.0031,0.18,0.3554,0.02
IT037L1,Lecce,0.0084,0.48,2.5459,0.0
IT038L1,Barletta,0.0068,0.39,1.3372,0.0
IT039L2,Pesaro,0.0062,0.35,0.6595,0.0
IT040L2,Como,0.0078,0.44,1.4593,0.0
IT041L2,Pisa,0.005,0.29,0.8216,0.0
IT042L1,Treviso,0.0041,0.24,0.2243,0.01
IT043L2,Varese,0.0068,0.39,1.0345,0.01
IT045L2,Asti,0.0061,0.35,0.7791,0.0
IT046L2,Pavia,0.0032,0.18,0.773,0.04
IT047L1,Massa,0.0032,0.19,0.5633,0.0
IT048L2,Cosenza,0.0039,0.22,0.3779,0.0
IT052L1,Savona,0.0031,0.18,-0.3337,0.2
IT054L1,Matera,0.0068,0.39,2.8536,0.01
IT056L1,Acireale,0.0035,0.2,0.8196,0.0
IT057L2,Avellino,0.0069,0.4,0.7919,0.05
IT058L2,Pordenone,0.0032,0.18,-0.1999,0.06
IT060L1,Lecco,0.0076,0.43,1.1753,0.0
IT061L0,Altamura,0.006,0.34,2.3207,0.03
IT064L1,Battipaglia,-0.0005,-0.03,-0.2597,0.53
IT065L0,Bisceglie,0.0076,0.43,2.2768,0.0
IT066L1,Carpi,0.0038,0.22,1.0278,0.01
IT067L0,Cerignola,0.0058,0.33,1.2222,0.0
IT068L1,Gallarate,0.0061,0.35,0.8416,0.0
IT069L1,Gela,0.0066,0.38,1.4779,0.0
IT073L1,Sassuolo,0.005,0.29,1.2439,0.0
IT501L2,Messina,0.0057,0.33,1.5363,0.0
IT502L2,Prato,0.0041,0.24,1.2696,0.01
IT503L3,Parma,0.004,0.23,0.9479,0.01
IT504L3,Livorno,0.0062,0.35,1.1883,0.0
IT505L3,Reggio nell'Emilia,0.0052,0.3,1.109,0.0
IT506L2,Ravenna,0.003,0.17,0.758,0.04
IT507L2,Ferrara,0.0041,0.23,2.7917,0.06
IT508L3,Rimini,0.0057,0.33,0.7192,0.0
IT509L3,Siracusa,0.005,0.29,1.1111,0.01
IT511L2,Bergamo,0.0061,0.35,1.8248,0.0
IT512L3,ForlÃ¬,0.0047,0.27,0.5484,0.0
IT513L3,Latina,0.0063,0.36,0.836,0.0
IT514L2,Vicenza,0.0052,0.3,1.0816,0.0
IT515L2,Terni,0.0058,0.33,0.5247,0.0
IT516L2,Novara,0.0045,0.26,1.1091,0.13
IT518L1,Alessandria,0.0052,0.3,1.3818,0.0
IT519L1,Arezzo,0.005,0.28,0.5085,0.0
IT520L1,Grosseto,0.0062,0.36,1.0354,0.0
IT521L1,Brindisi,0.0058,0.33,2.125,0.0
IT522L1,Trapani,0.0063,0.36,2.4715,0.0
IT523L1,Ragusa,0.0065,0.37,1.0401,0.01
IT524L0,Andria,0.009,0.51,2.3963,0.0
IT525L0,Trani,0.0079,0.45,2.2551,0.0
IT526L1,L'Aquila,0.0036,0.2,0.1933,0.0
LT001L1,Vilnius,0.0006,0.03,0.1034,0.62
LT002L1,Kaunas,0.0,0.0,-0.1197,0.99
LT003L1,PanevÄÅ¾ys,-0.0012,-0.07,-0.4103,0.38
LT004L0,Alytus,0.0021,0.12,-0.2296,0.24
LT501L0,KlaipÄda,0.0002,0.01,0.1427,0.82
LT502L0,Å iauliai,-0.0012,-0.07,-0.4121,0.34
LU001L1,Luxembourg,0.0015,0.09,-0.3463,0.28
LV001L1,RÄ«ga,-0.0003,-0.02,-0.0633,0.75
LV002L2,LiepÄja,-0.0001,-0.01,0.1825,0.93
LV003L1,Jelgava,-0.0016,-0.09,-0.0701,0.24
LV501L1,Daugavpils,0.0003,0.02,-0.3221,0.83
ME001L1,Podgorica,0.0013,0.08,-0.0143,0.14
MK001L1,Skopje,0.0059,0.34,0.5165,0.0
MK003L1,Bitola,0.0043,0.25,0.4679,0.0
MK004L1,Tetovo,0.002,0.12,0.0264,0.05
MK005L1,Prilep,0.0046,0.27,0.581,0.0
MT001L1,Valletta,0.0039,0.22,0.9565,0.01
NL001L3,s' Gravenhage,0.0024,0.14,-0.0349,0.04
NL002L3,Amsterdam,0.003,0.17,0.1212,0.04
NL003L3,Rotterdam,0.0019,0.11,-0.1497,0.18
NL004L3,Utrecht,0.0031,0.18,0.1039,0.02
NL005L3,Eindhoven,0.0021,0.12,-0.2198,0.14
NL006L3,Tilburg,0.0017,0.1,-0.2998,0.24
NL007L3,Groningen,0.002,0.12,0.1,0.11
NL008L3,Enschede,0.0023,0.13,0.0037,0.16
NL009L3,Arnhem,0.002,0.11,-0.2692,0.23
NL010L3,Heerlen,0.0021,0.12,-0.1374,0.11
NL012L3,Breda,0.0028,0.16,-0.1501,0.08
NL013L3,Nijmegen,0.0013,0.07,-0.3587,0.37
NL014L3,Apeldoorn,0.0026,0.15,-0.0923,0.1
NL015L3,Leeuwarden,0.0028,0.16,0.1355,0.01
NL016L3,Sittard-Geleen,0.0013,0.08,-0.3863,0.27
NL020L3,Roosendaal,0.0023,0.13,-0.139,0.08
NL026L0,Alphen aan den Rijn,0.0031,0.18,0.2554,0.01
NL028L3,Bergen op Zoom,0.0023,0.13,-0.1539,0.17
NL030L0,Gouda,0.0005,0.03,-0.2302,0.7
NL032L3,MiddelburgÂ Â Â Â Â Â ,0.002,0.12,-0.3681,0.21
NL503L3,s-Hertogenbosch,0.0021,0.12,-0.191,0.07
NL504L3,Amersfoort,0.0015,0.09,-0.2635,0.26
NL505L3,Maastricht,0.0014,0.08,-0.3161,0.28
NL507L3,Leiden,0.0022,0.13,0.1302,0.06
NL511L3,Zwolle,0.003,0.17,0.1645,0.02
NL512L3,Ede,0.0025,0.14,-0.2153,0.1
NL513L3,Deventer,0.0032,0.18,0.136,0.03
NL514L3,Alkmaar,0.0037,0.21,0.24,0.02
NL515L3,Venlo,0.0011,0.06,-0.2785,0.31
NL519L3,Almelo,0.0024,0.14,0.0194,0.14
NL520L3,Lelystad,0.0011,0.06,-0.0426,0.66
NL521L3,Oss,0.0028,0.16,-0.1596,0.05
NL522L3,Assen,0.0034,0.2,0.1568,0.06
NL524L3,Veenendaal,0.0023,0.13,-0.0856,0.12
NL529L3,Soest,0.0033,0.19,0.2278,0.04
NO001L1,Oslo,0.0018,0.1,0.8904,0.14
NO002L1,Bergen,0.0026,0.15,0.3307,0.14
NO003L1,Trondheim,0.005,0.29,1.6927,0.01
NO004L1,Stavanger,0.0023,0.13,-0.0354,0.12
NO005L1,Kristiansand,0.0011,0.06,-0.3853,0.51
NO006L1,TromsÃ¸,0.0052,0.3,0.9101,0.01
PL001L2,Warszawa,0.0024,0.14,0.3723,0.01
PL002L2,ÅÃ³dÅº,0.0015,0.09,0.0065,0.23
PL003L2,KrakÃ³w,0.0007,0.04,-0.2687,0.63
PL004L2,WrocÅaw,0.0022,0.12,0.0333,0.15
PL005L2,PoznaÅ,0.0039,0.22,-0.0081,0.01
PL006L2,GdaÅsk,-0.0006,-0.03,0.0091,0.54
PL007L2,Szczecin,0.0002,0.01,-0.2915,0.83
PL008L2,Bydgoszcz,0.0053,0.3,0.3809,0.0
PL009L2,Lublin,0.0005,0.03,-0.3933,0.74
PL010L2,Katowice,0.0036,0.21,-0.0471,0.08
PL011L2,BiaÅystok,0.002,0.12,0.105,0.05
PL012L2,Kielce,0.0013,0.08,-0.0562,0.25
PL013L2,ToruÅ,0.0019,0.11,0.221,0.06
PL014L2,Olsztyn,0.0002,0.01,0.0087,0.84
