fua_code,fua_name,Year,kernel_mean
ES522L1,CÃ¡diz,2000,28.20285772884808
ES523L1,LeÃ³n,2000,50.43367253313564
ES525L1,Tarragona,2000,21.023290983927172
ES527L1,JaÃ©n,2000,25.77243145226597
ES528L1,Lleida,2000,41.93250867664171
ES529L1,Ourense,2000,50.18711956632037
ES532L1,Algeciras,2000,85.09932927901119
ES533L1,Marbella,2000,61.69359446390041
ES537L1,Alcoy,2000,35.74372414967758
ES538L1,Ãvila,2000,31.55126125301949
ES542L1,Cuenca,2000,54.00840020127392
ES543L1,Eivissa,2000,31.247964054063758
ES544L1,Linares,2000,27.080938060528798
ES545L1,Lorca,2000,29.18918894028565
ES546L1,MÃ©rida,2000,27.305425379158933
ES547L1,Sagunto,2000,44.093880780700076
ES552L1,Igualada,2000,34.693331354831095
FI001L3,Helsinki,2000,77.08226704414062
FI002L3,Tampere,2000,71.64257756752723
FI003L4,Turku,2000,58.066938263583836
FI007L2,Lahti,2000,82.30545182892487
FI008L2,Kuopio,2000,74.56965218493032
FR001L1,Paris,2000,56.62258829502363
FR003L2,Lyon,2000,62.41473960767561
FR004L2,Toulouse,2000,33.3080707885961
FR006L2,Strasbourg,2000,66.27569049399082
FR007L2,Bordeaux,2000,66.65546053699613
FR008L2,Nantes,2000,61.34248212729902
FR009L2,Lille,2000,52.35678830220913
FR010L2,Montpellier,2000,49.50954157364751
FR011L2,Saint-Etienne,2000,72.36716410564787
FR012L2,Le Havre,2000,51.21522494566886
FR013L2,Rennes,2000,57.162100905404934
FR014L2,Amiens,2000,55.16190953771615
FR016L2,Nancy,2000,71.74099143487864
FR017L2,Metz,2000,62.35200911591722
FR018L2,Reims,2000,43.24708092317461
FR019L2,OrlÃ©ans,2000,39.1839416012086
FR020L2,Dijon,2000,61.73995535626994
FR021L2,Poitiers,2000,40.96353704076582
FR022L2,Clermont-Ferrand,2000,60.44050476486751
FR023L2,Caen,2000,50.54840493704721
FR024L2,Limoges,2000,54.958784575867284
FR025L2,BesanÃ§on,2000,62.53212034900004
FR026L2,Grenoble,2000,75.54707549171384
FR027L2,Ajaccio,2000,70.09786471229489
FR032L2,Toulon,2000,66.01257904398685
FR034L2,Valenciennes,2000,64.3292139886092
FR035L2,Tours,2000,50.62993874738759
FR036L2,Angers,2000,51.556093100233625
FR037L2,Brest,2000,58.77443603798912
FR038L2,Le Mans,2000,66.85234860551444
