fua_code,Year,Gini
BG008L2,2009,0.35331
BG008L2,2010,0.29033
BG008L2,2011,0.34655
BG008L2,2014,0.21717
BG008L2,2015,0.24161
BG008L2,2016,0.25207
BG008L2,2017,0.27958
BG008L2,2018,0.22614
BG008L2,2019,0.27926
BG008L2,2020,0.26817
BG009L1,2000,0.5823
BG009L1,2001,0.54859
BG009L1,2002,0.54824
BG009L1,2003,0.63009
BG009L1,2004,0.34538
BG009L1,2005,0.39411
BG009L1,2006,0.53484
BG009L1,2007,0.41779
BG009L1,2008,0.43927
BG009L1,2009,0.43438
BG009L1,2010,0.32225
BG009L1,2011,0.49457
BG009L1,2014,0.27999
BG009L1,2015,0.33188
BG009L1,2016,0.23915
BG009L1,2017,0.30136
BG009L1,2018,0.29813
BG009L1,2019,0.33299
BG009L1,2020,0.33312
BG010L1,2000,0.39749
BG010L1,2001,0.68807
BG010L1,2002,0.3854
BG010L1,2003,0.28299
BG010L1,2004,0.22208
BG010L1,2005,0.25771
BG010L1,2006,0.28833
BG010L1,2007,0.52109
BG010L1,2008,0.36318
BG010L1,2009,0.30461
BG010L1,2010,0.24306
BG010L1,2011,0.29302
BG010L1,2014,0.18125
BG010L1,2015,0.25453
BG010L1,2016,0.22594
BG010L1,2017,0.23962
BG010L1,2018,0.22691
BG010L1,2019,0.27215
BG010L1,2020,0.3035
BG011L1,2000,0.42482
BG011L1,2001,0.51155
BG011L1,2002,0.38693
BG011L1,2003,0.36857
BG011L1,2004,0.2506
BG011L1,2005,0.25619
BG011L1,2006,0.38266
BG011L1,2007,0.47393
BG011L1,2008,0.35962
BG011L1,2009,0.3847
BG011L1,2010,0.28445
BG011L1,2011,0.33429
BG011L1,2014,0.20656
BG011L1,2015,0.24187
BG011L1,2016,0.26199
BG011L1,2017,0.2503
BG011L1,2018,0.24816
BG011L1,2019,0.3073
BG011L1,2020,0.30516
BG013L1,2000,0.4458
BG013L1,2001,0.47056
BG013L1,2002,0.44928
BG013L1,2003,0.55747
BG013L1,2004,0.29135
BG013L1,2005,0.35027
BG013L1,2006,0.4148
BG013L1,2007,0.34485
BG013L1,2008,0.31828
BG013L1,2009,0.35418
BG013L1,2010,0.25238
BG013L1,2011,0.3909
BG013L1,2014,0.22237
BG013L1,2015,0.2665
BG013L1,2016,0.20364
BG013L1,2017,0.21956
BG013L1,2018,0.24368
BG013L1,2019,0.24902
BG013L1,2020,0.25721
BG014L1,2000,0.47374
BG014L1,2001,0.4607
BG014L1,2002,0.40786
BG014L1,2003,0.43233
BG014L1,2004,0.29481
BG014L1,2005,0.29418
BG014L1,2006,0.34788
BG014L1,2007,0.32944
BG014L1,2008,0.37243
BG014L1,2009,0.3534
BG014L1,2010,0.27109
BG014L1,2011,0.35612
BG014L1,2014,0.23872
BG014L1,2015,0.23596
BG014L1,2016,0.25597
BG014L1,2017,0.2548
BG014L1,2018,0.2183
BG014L1,2019,0.25045
BG014L1,2020,0.26321
BG015L1,2000,0.55699
BG015L1,2001,0.36037
BG015L1,2002,0.54203
BG015L1,2003,0.39885
BG015L1,2004,0.34584
BG015L1,2005,0.26918
BG015L1,2006,0.23488
BG015L1,2007,0.24196
BG015L1,2008,0.25357
BG015L1,2009,0.24259
BG015L1,2010,0.21
BG015L1,2011,0.27662
BG015L1,2014,0.19824
BG015L1,2015,0.21072
BG015L1,2016,0.2364
BG015L1,2017,0.25138
BG015L1,2018,0.23197
BG015L1,2019,0.25245
BG015L1,2020,0.23982
BG016L1,2000,0.51322
BG016L1,2001,0.5221
BG016L1,2002,0.3134
BG016L1,2003,0.3496
BG016L1,2004,0.33207
BG016L1,2005,0.31438
BG016L1,2006,0.35732
BG016L1,2007,0.38216
BG016L1,2008,0.34702
BG016L1,2009,0.26373
BG016L1,2010,0.36829
BG016L1,2011,0.45362
BG016L1,2014,0.25959
BG016L1,2015,0.35601
BG016L1,2016,0.2513
BG016L1,2017,0.33156
BG016L1,2018,0.33343
BG016L1,2019,0.34048
BG016L1,2020,0.26341
BG017L1,2000,0.4096
BG017L1,2001,0.33926
BG017L1,2002,0.23606
BG017L1,2003,0.38317
BG017L1,2004,0.21587
BG017L1,2005,0.23049
BG017L1,2006,0.26221
BG017L1,2007,0.31078
BG017L1,2008,0.30032
BG017L1,2009,0.25794
BG017L1,2010,0.23621
BG017L1,2011,0.21753
BG017L1,2014,0.18369
BG017L1,2015,0.18767
BG017L1,2016,0.18797
BG017L1,2017,0.1857
BG017L1,2018,0.19394
BG017L1,2019,0.23482
BG017L1,2020,0.22371
BG018L1,2000,0.4652
BG018L1,2001,0.37337
