fua_code,mean_annual_change_pct,p_value,slope,slope_degrees
PL030L1,0.267,0.15,-0.3,-16.49
PL031L1,-0.6153,0.06,-0.49,-26.29
PL032L1,1.7612,0.4,-0.16,-9.01
PL033L1,-0.5018,0.03,-0.35,-19.05
PL034L1,0.2452,0.23,-0.34,-18.89
PL035L1,-0.6092,0.16,-0.18,-10.13
PL036L1,-0.2325,0.1,-0.38,-20.86
PL037L1,-0.8795,0.0,-0.6,-31.07
PL038L1,-0.9813,0.02,-0.47,-24.96
PL039L1,0.176,0.93,-0.01,-0.74
PL040L1,2.0837,0.32,-0.23,-12.96
PL041L1,2.2448,0.63,-0.15,-8.47
PL042L1,0.7838,0.27,-0.26,-14.54
PL043L1,-0.2632,0.25,-0.19,-10.7
PL044L1,-1.3196,0.01,-0.4,-21.76
PL045L1,1.3825,0.95,-0.01,-0.74
PL046L1,2.393,0.93,0.02,1.08
PL047L1,-1.1389,0.37,-0.2,-11.32
PL048L1,0.3422,0.14,-0.26,-14.57
PL049L1,0.502,0.21,-0.24,-13.27
PL051L1,-1.4992,0.07,-0.18,-9.93
PL052L1,0.031,0.11,0.13,7.38
PL506L2,0.6393,0.25,-0.49,-26.25
PL508L1,0.9811,0.31,-0.2,-11.56
PL511L2,0.2013,0.11,-0.36,-19.85
PL512L2,0.1807,0.54,0.03,1.48
PL513L2,0.6132,0.27,0.14,8.06
PL514L2,0.6852,0.21,-0.18,-10.2
PL516L2,-0.3104,0.01,-0.3,-16.81
PL517L2,-1.3333,0.48,-0.05,-2.71
PT001L3,-0.79,0.0,-0.25,-13.79
PT002L2,-0.7144,0.0,-0.35,-19.11
PT003L1,-0.2738,0.0,-0.22,-12.43
PT004L2,1.0289,0.07,0.25,14.18
PT005L2,-0.8533,0.0,-0.27,-15.26
PT007L1,-0.0248,0.11,-0.26,-14.7
PT008L2,-0.5857,0.03,-0.18,-10.09
PT009L1,-0.3835,0.0,-0.28,-15.81
PT014L1,-0.7625,0.0,-0.25,-14.2
PT016L0,-0.3993,0.01,-0.11,-6.01
PT019L0,-0.1282,0.16,-0.08,-4.77
PT505L1,-1.2405,0.0,-0.26,-14.35
RO001L1,-0.7296,0.01,-0.53,-27.96
RO002L1,-0.4702,0.01,-0.38,-20.89
RO003L1,-0.9073,0.0,-0.79,-38.37
RO004L1,-1.6143,0.04,-0.81,-38.96
RO005L1,-0.3212,0.04,-0.44,-23.74
RO006L1,-0.7133,0.06,-0.52,-27.63
RO007L1,0.7839,0.04,-0.71,-35.55
RO008L1,-1.1773,0.0,-0.93,-42.94
RO009L1,-1.2094,0.02,-0.38,-20.98
RO010L1,-0.3624,0.04,-0.67,-33.8
RO011L1,0.2394,0.13,-0.59,-30.45
RO012L1,1.0829,0.05,-0.74,-36.37
RO013L1,-1.6171,0.0,-1.27,-51.68
RO014L1,-2.1202,0.03,-0.89,-41.6
RO015L1,-1.3279,0.0,-0.89,-41.67
RO016L1,-2.6257,0.01,-1.17,-49.44
RO017L1,-0.2088,0.03,-0.42,-22.77
RO018L1,-0.6514,0.02,-0.98,-44.33
RO019L1,-2.1359,0.0,-1.23,-50.88
RO020L1,-0.1138,0.11,-0.65,-33.13
RO021L1,0.9627,0.05,-0.67,-33.86
RO022L1,-0.3139,0.1,-0.33,-18.35
RO501L1,-1.4128,0.0,-0.58,-29.96
RO502L1,-0.0312,0.02,-0.58,-29.94
